app_id|name|release_date|price_usd|price_display|genres|categories|positive_reviews|negative_reviews|recommendation_score|tags
2457220|Avowed|Feb 18, 2025|49.99|$49.99|RPG|Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Steam Cloud, Stats, Family Sharing|7522|2135||RPG, Fantasy, Singleplayer, First-Person, Story Rich, Magic, LGBTQ+, Adventure, Character Customization, Choices Matter, Combat, Action RPG, Third Person, Open World, Colorful, 3D, Violent, Action, Atmospheric, Mature
1086940|Baldur's Gate 3|Aug 3, 2023|59.99|$59.99|Adventure, RPG, Strategy|Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing|736688|23974||RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat, Dungeons & Dragons, CRPG, Fantasy, Adventure, Sexual Content, Romance, Online Co-Op, Multiplayer, Strategy, Singleplayer, Co-op Campaign, Nudity, Class-Based, Dark Fantasy, Combat
597820|BIOMUTANT|May 25, 2021|39.99|$39.99|Action, RPG|Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing|12840|6587||Open World, Action, Singleplayer, RPG, Adventure, Character Customization, Post-apocalyptic, Third Person, Hack and Slash, Fantasy, Atmospheric, Exploration, Action RPG, Multiplayer, Martial Arts, Cute, Story Rich, Sci-fi, Indie, Souls-like
2358720|Black Myth: Wukong|Aug 19, 2024|59.99|$59.99|Action, Adventure, RPG|Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing|1111720|38378||Mythology, Action RPG, Action, Souls-like, RPG, Combat, Story Rich, Singleplayer, Action-Adventure, Drama, Dark Fantasy, Atmospheric, Adventure, 3D, Fantasy, Hack and Slash, Difficult, Third Person, Music, Violent
1903340|Clair Obscur: Expedition 33|Apr 24, 2025|47.99|$47.99|Action, RPG|Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Family Sharing|106216|4816||Turn-Based Combat, Story Rich, Fantasy, RPG, Exploration, JRPG, Adventure, Lore-Rich, Singleplayer, Action RPG, Souls-like, Party-Based RPG, Dark Fantasy, Character Customization, 3D, Post-apocalyptic, Great Soundtrack, Narration, Realistic, Action
1091500|Cyberpunk 2077|Dec 9, 2020|59.99|$59.99|RPG|Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, HDR available, Family Sharing|713071|131850||Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, FPS, Story Rich, Mature, Futuristic, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim
236430|DARK SOULS™ II|Apr 25, 2014|39.99|$39.99|Action, RPG|Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing|39201|5123||Souls-like, RPG, Dark Fantasy, Difficult, Action RPG, Action, Unforgiving, Adventure, Exploration, Atmospheric, Co-op, Multiplayer, Fantasy, Epic, PvP, Immersive, Third Person, Replay Value, Open World, Dark
335300|DARK SOULS™ II: Scholar of the First Sin|Apr 1, 2015|39.99|$39.99|Action, RPG|Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing|98052|18658||Souls-like, Dark Fantasy, RPG, Difficult, Action, Third Person, Atmospheric, Action RPG, Character Customization, Co-op, Multiplayer, Adventure, Fantasy, Medieval, Dark, Singleplayer, Lore-Rich, Story Rich, PvP, Remake
606280|Darksiders III|Nov 27, 2018|39.99|$39.99|Action, Adventure, RPG|Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing|11626|3571||Hack and Slash, Action, Female Protagonist, Souls-like, Singleplayer, Adventure, RPG, Action-Adventure, Open World, Violent, Third Person, Story Rich, Dark Fantasy, Atmospheric, Post-apocalyptic, Puzzle, Fantasy, Gore, Difficult, Dark
632470|Disco Elysium - The Final Cut|Oct 15, 2019|39.99|$39.99|RPG|Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing|104010|7702||RPG, Story Rich, Choices Matter, Detective, Isometric, Atmospheric, Singleplayer, Point & Click, CRPG, Noir, Political, Surreal, Visual Novel, Exploration, Funny, Indie, Adventure, Open World, Character Customization, Sexual Content
